epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.465,1.72903,2.33262,1.24197,0.66967,0.56148,0.61661,0.33891,1.58374,1.62833,1.19155,0.000475381,0.000475381,0.000475381
2,288.971,1.58583,1.54298,1.1631,0.75123,0.62106,0.7039,0.41054,1.50554,1.29354,1.18349,0.000942292,0.000942292,0.000942292
3,423.541,1.52544,1.34302,1.1255,0.76452,0.70379,0.77299,0.47319,1.44263,1.14134,1.13344,0.00139977,0.00139977,0.00139977
4,554.857,1.51359,1.27288,1.11782,0.78137,0.71952,0.79602,0.48918,1.45351,1.08621,1.1301,0.00138656,0.00138656,0.00138656
5,685.435,1.49404,1.19843,1.10814,0.79038,0.70558,0.79053,0.4916,1.4209,1.07808,1.11437,0.00137241,0.00137241,0.00137241
6,817.312,1.43563,1.12663,1.08921,0.80873,0.75627,0.82438,0.50866,1.43498,1.02675,1.10718,0.00135826,0.00135826,0.00135826
7,949.258,1.42781,1.07653,1.08045,0.80594,0.73318,0.81826,0.5241,1.37308,1.04635,1.1056,0.00134412,0.00134412,0.00134412
8,1078.46,1.42957,1.05022,1.07924,0.80429,0.74864,0.82246,0.50414,1.42089,0.94935,1.10563,0.00132997,0.00132997,0.00132997
9,1206.06,1.39967,1.00604,1.06657,0.85046,0.73938,0.84341,0.52947,1.3909,0.91885,1.09361,0.00131582,0.00131582,0.00131582
10,1339.21,1.38859,0.99846,1.06116,0.84101,0.78314,0.86073,0.56843,1.31608,0.86148,1.067,0.00130168,0.00130168,0.00130168
11,1468.97,1.36949,0.95941,1.05679,0.84142,0.77481,0.85549,0.55703,1.35612,0.88007,1.08336,0.00128753,0.00128753,0.00128753
12,1595.88,1.37407,0.94866,1.05632,0.84294,0.79018,0.86249,0.5609,1.34723,0.85641,1.05386,0.00127338,0.00127338,0.00127338
13,1723.23,1.35577,0.92082,1.04238,0.83595,0.80569,0.8614,0.57001,1.31924,0.83493,1.05337,0.00125923,0.00125923,0.00125923
14,1854.07,1.35683,0.91806,1.04145,0.82417,0.81432,0.86947,0.58004,1.29532,0.83779,1.04641,0.00124509,0.00124509,0.00124509
15,1987.26,1.33852,0.88822,1.03634,0.85748,0.80186,0.87476,0.55878,1.36372,0.8251,1.07098,0.00123094,0.00123094,0.00123094
16,2119.93,1.34883,0.88172,1.04272,0.82978,0.80922,0.87256,0.57879,1.30879,0.80687,1.04919,0.00121679,0.00121679,0.00121679
17,2253.08,1.34126,0.89204,1.04324,0.8755,0.80962,0.8905,0.588,1.30429,0.76816,1.03933,0.00120265,0.00120265,0.00120265
18,2386.19,1.31279,0.84537,1.02637,0.8764,0.80543,0.88443,0.5915,1.29741,0.78575,1.04125,0.0011885,0.0011885,0.0011885
19,2517.19,1.30005,0.84235,1.02346,0.87386,0.82466,0.89081,0.59129,1.3105,0.75061,1.03869,0.00117435,0.00117435,0.00117435
20,2645.44,1.29339,0.84764,1.02325,0.86237,0.83227,0.89994,0.61683,1.24928,0.73916,1.02567,0.00116021,0.00116021,0.00116021
21,2773.94,1.28708,0.82111,1.01963,0.83976,0.80392,0.88091,0.58377,1.29667,0.77275,1.0273,0.00114606,0.00114606,0.00114606
