epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.193,1.80564,2.25188,1.22802,0.44878,0.32257,0.29523,0.16025,1.7418,1.93377,1.24597,0.000475386,0.000475386,0.000475386
2,282.911,1.64089,1.54271,1.13584,0.58612,0.39444,0.38297,0.20363,1.70135,1.38997,1.21242,0.000932876,0.000932876,0.000932876
3,416.416,1.61612,1.42175,1.12072,0.6156,0.40013,0.41207,0.21848,1.67007,1.36243,1.16096,0.0013715,0.0013715,0.0013715
4,549.404,1.56954,1.29428,1.10441,0.67029,0.4077,0.41512,0.21892,1.65671,1.30102,1.17304,0.00134412,0.00134412,0.00134412
5,683.488,1.56436,1.25697,1.09194,0.63063,0.40152,0.42842,0.2467,1.62862,1.28027,1.14723,0.00131582,0.00131582,0.00131582
6,818.991,1.53985,1.20314,1.08541,0.67106,0.43075,0.4455,0.23484,1.69562,1.15402,1.18376,0.00128753,0.00128753,0.00128753
7,952.712,1.49715,1.14051,1.07289,0.71268,0.42201,0.46811,0.26073,1.64413,1.13589,1.14649,0.00125923,0.00125923,0.00125923
8,1085.78,1.5034,1.11153,1.0747,0.73252,0.42867,0.47799,0.27209,1.62836,1.09125,1.1289,0.00123094,0.00123094,0.00123094
9,1219.49,1.46993,1.06691,1.05621,0.75124,0.43595,0.48855,0.27527,1.62654,1.05501,1.13222,0.00120265,0.00120265,0.00120265
10,1354.24,1.47396,1.04931,1.05698,0.7309,0.43714,0.48335,0.2743,1.62562,1.06741,1.13521,0.00117435,0.00117435,0.00117435
11,1486.25,1.4503,1.03272,1.0454,0.76,0.4411,0.49424,0.28643,1.60324,1.07685,1.12801,0.00114606,0.00114606,0.00114606
12,1619.57,1.42765,1.00208,1.04721,0.73376,0.43237,0.49004,0.27683,1.62485,1.03164,1.13473,0.00111776,0.00111776,0.00111776
13,1753.62,1.42526,0.98461,1.03678,0.776,0.43849,0.50249,0.28697,1.6133,1.00177,1.1228,0.00108947,0.00108947,0.00108947
14,1886.57,1.40225,0.94538,1.02821,0.75314,0.43679,0.4957,0.2884,1.60561,1.00547,1.12331,0.00106118,0.00106118,0.00106118
15,2019.84,1.39804,0.94343,1.02754,0.73315,0.44196,0.49443,0.28675,1.60472,1.01572,1.11627,0.00103288,0.00103288,0.00103288
16,2152.88,1.41822,0.95723,1.02985,0.72798,0.45426,0.50854,0.29936,1.59482,0.96153,1.11523,0.00100459,0.00100459,0.00100459
17,2285.93,1.38077,0.91488,1.01872,0.74766,0.44877,0.50868,0.30012,1.5899,0.95176,1.11516,0.000976293,0.000976293,0.000976293
18,2419.12,1.38424,0.90729,1.02012,0.75424,0.45585,0.5123,0.29542,1.61315,0.94783,1.12636,0.000947999,0.000947999,0.000947999
19,2547.69,1.37625,0.90184,1.0153,0.75423,0.43838,0.49209,0.28675,1.60578,0.96617,1.109,0.000919704,0.000919704,0.000919704
20,2680.52,1.3631,0.89712,1.0161,0.78704,0.44293,0.50859,0.29624,1.59661,0.9381,1.10877,0.00089141,0.00089141,0.00089141
21,2813.53,1.34627,0.8635,0.99996,0.76533,0.44774,0.51599,0.30342,1.60703,0.93716,1.13533,0.000863116,0.000863116,0.000863116
22,2945.95,1.3437,0.85777,1.00196,0.76647,0.4434,0.50994,0.29895,1.58498,0.93995,1.11852,0.000834822,0.000834822,0.000834822
23,3079.17,1.33958,0.85107,1.00365,0.76364,0.44357,0.49677,0.28905,1.58068,0.95742,1.11182,0.000806528,0.000806528,0.000806528
24,3209.38,1.3424,0.85049,1.00409,0.74309,0.45244,0.51567,0.30215,1.58568,0.90822,1.11577,0.000778233,0.000778233,0.000778233
25,3341.72,1.31382,0.82616,0.99463,0.78274,0.44709,0.52454,0.30752,1.57475,0.89802,1.1079,0.000749939,0.000749939,0.000749939
26,3475.08,1.31096,0.81643,0.99002,0.75347,0.44525,0.52186,0.31136,1.57994,0.90542,1.11439,0.000721645,0.000721645,0.000721645
27,3607.57,1.29618,0.81322,0.99336,0.78879,0.45163,0.5217,0.30297,1.59115,0.91086,1.10618,0.000693351,0.000693351,0.000693351
28,3740.42,1.29196,0.79895,0.98639,0.74171,0.46686,0.52626,0.30895,1.57264,0.89208,1.10748,0.000665057,0.000665057,0.000665057
29,3876.5,1.29227,0.78599,0.97981,0.74208,0.458,0.51848,0.30804,1.55544,0.88725,1.09558,0.000636762,0.000636762,0.000636762
30,4011.11,1.28463,0.7963,0.98314,0.75473,0.45826,0.52035,0.30871,1.55228,0.90049,1.10162,0.000608468,0.000608468,0.000608468
31,4142.86,1.26288,0.77679,0.98173,0.76551,0.46575,0.52545,0.31102,1.56891,0.89663,1.10924,0.000580174,0.000580174,0.000580174
32,4276.35,1.27219,0.7754,0.97699,0.75763,0.45218,0.52023,0.30961,1.55315,0.87995,1.10396,0.00055188,0.00055188,0.00055188
33,4409.54,1.25984,0.76694,0.97176,0.75779,0.45448,0.52181,0.31195,1.54909,0.8674,1.10432,0.000523586,0.000523586,0.000523586
34,4542.06,1.2392,0.73796,0.96891,0.74385,0.46644,0.52264,0.31003,1.55712,0.87475,1.10207,0.000495291,0.000495291,0.000495291
35,4674.45,1.23452,0.73519,0.96913,0.75765,0.45856,0.52683,0.31609,1.54585,0.87222,1.09399,0.000466997,0.000466997,0.000466997
36,4811.11,1.2165,0.72421,0.96011,0.77191,0.45499,0.5272,0.31039,1.57815,0.8681,1.11636,0.000438703,0.000438703,0.000438703
37,4945.88,1.23483,0.73093,0.96488,0.76334,0.46978,0.53128,0.31977,1.55855,0.85908,1.10357,0.000410409,0.000410409,0.000410409
38,5078.78,1.2147,0.71465,0.95554,0.76206,0.4621,0.52788,0.31537,1.55663,0.85967,1.11351,0.000382115,0.000382115,0.000382115
39,5215.79,1.20389,0.71576,0.96041,0.75963,0.45831,0.52828,0.31834,1.54387,0.85311,1.09929,0.00035382,0.00035382,0.00035382
40,5351.2,1.21471,0.70794,0.96339,0.76905,0.46844,0.53405,0.32105,1.54931,0.85571,1.10244,0.000325526,0.000325526,0.000325526
41,5485.42,1.21185,0.69295,0.95868,0.78025,0.45918,0.53037,0.31793,1.56712,0.86282,1.10515,0.000297232,0.000297232,0.000297232
42,5618.93,1.18961,0.66889,0.95246,0.77077,0.45996,0.5277,0.31592,1.57476,0.85623,1.10959,0.000268938,0.000268938,0.000268938
43,5754.79,1.19406,0.67221,0.95124,0.77425,0.46185,0.52521,0.31696,1.54822,0.85994,1.10494,0.000240644,0.000240644,0.000240644
44,5882.84,1.17229,0.65988,0.94478,0.78077,0.46659,0.53196,0.31873,1.56196,0.84548,1.10845,0.000212349,0.000212349,0.000212349
45,6015.05,1.16336,0.64845,0.94238,0.77261,0.4641,0.53429,0.32332,1.54638,0.84358,1.09697,0.000184055,0.000184055,0.000184055
46,6145.77,1.15532,0.64446,0.93642,0.75849,0.46653,0.53578,0.32548,1.54119,0.84451,1.10232,0.000155761,0.000155761,0.000155761
47,6279.03,1.15638,0.64203,0.93597,0.77824,0.46507,0.53256,0.32171,1.55102,0.84855,1.11111,0.000127467,0.000127467,0.000127467
48,6413.06,1.14933,0.63193,0.93934,0.77998,0.46265,0.53634,0.32512,1.5455,0.84201,1.10447,9.91726e-05,9.91726e-05,9.91726e-05
49,6546.15,1.13719,0.62495,0.92974,0.77845,0.46246,0.53371,0.32187,1.55922,0.84289,1.10793,7.08784e-05,7.08784e-05,7.08784e-05
50,6681.27,1.13539,0.6258,0.93475,0.75909,0.46821,0.53614,0.32474,1.55227,0.84505,1.10539,4.25842e-05,4.25842e-05,4.25842e-05
