epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.899,1.73209,2.3286,1.24975,0.64151,0.58435,0.61974,0.34987,1.53381,1.57933,1.16465,0.000475381,0.000475381,0.000475381
2,293.887,1.58037,1.52649,1.15266,0.65777,0.64636,0.67925,0.37977,1.55307,1.31616,1.16894,0.000942292,0.000942292,0.000942292
3,425.883,1.53299,1.35689,1.12345,0.75128,0.66314,0.73873,0.43236,1.45946,1.17457,1.10829,0.00139977,0.00139977,0.00139977
4,555.095,1.50523,1.2745,1.11287,0.77745,0.68619,0.76773,0.45435,1.46622,1.11143,1.12408,0.00138656,0.00138656,0.00138656
5,688.178,1.47642,1.18751,1.09983,0.79567,0.71743,0.78186,0.48076,1.42045,1.03395,1.09977,0.00137241,0.00137241,0.00137241
6,823.188,1.43336,1.11729,1.08634,0.77488,0.71509,0.79012,0.46636,1.49691,1.05701,1.12058,0.00135826,0.00135826,0.00135826
7,954.661,1.439,1.12603,1.09032,0.78842,0.76003,0.8254,0.51298,1.40968,0.95789,1.09536,0.00134412,0.00134412,0.00134412
8,1091.59,1.41695,1.04087,1.07594,0.78404,0.74177,0.8109,0.49736,1.42745,0.94706,1.08762,0.00132997,0.00132997,0.00132997
9,1228.87,1.40672,1.01948,1.07863,0.80786,0.75313,0.82986,0.51334,1.36734,0.93482,1.06934,0.00131582,0.00131582,0.00131582
10,1364.05,1.39337,0.99355,1.06399,0.79817,0.78268,0.83195,0.53313,1.34481,0.88446,1.06534,0.00130168,0.00130168,0.00130168
11,1495.73,1.36204,0.9634,1.05745,0.78179,0.80794,0.85097,0.54103,1.34262,0.86826,1.05967,0.00128753,0.00128753,0.00128753
12,1627.93,1.37074,0.94621,1.05584,0.81788,0.76024,0.84079,0.54032,1.34881,0.85297,1.0535,0.00127338,0.00127338,0.00127338
13,1758.81,1.33794,0.90755,1.04282,0.84752,0.79609,0.86415,0.56168,1.3153,0.79585,1.04752,0.00125923,0.00125923,0.00125923
14,1889.64,1.35103,0.90334,1.04025,0.81059,0.80745,0.85289,0.55014,1.33059,0.8273,1.05218,0.00124509,0.00124509,0.00124509
15,2022.08,1.32242,0.88099,1.03315,0.82,0.79478,0.86367,0.56605,1.29986,0.81188,1.03698,0.00123094,0.00123094,0.00123094
