epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9848,2.19427,3.03985,1.34097,0.2697,0.18462,0.14965,0.06894,2.25259,2.37482,1.34041,0.00047324,0.00047324,0.00047324
2,121.594,2.17301,2.26552,1.27125,0.33454,0.24629,0.19324,0.08865,2.19087,2.13545,1.32953,0.000930772,0.000930772,0.000930772
3,175.484,2.1152,2.07022,1.25473,0.40892,0.25314,0.22386,0.10737,2.15753,1.97299,1.31734,0.00136944,0.00136944,0.00136944
4,231.202,2.08297,1.96574,1.22884,0.59347,0.23131,0.22883,0.10962,2.09957,1.86323,1.26297,0.00134412,0.00134412,0.00134412
5,281.469,2.08279,1.88265,1.22608,0.55368,0.25998,0.26008,0.12654,2.10794,1.85141,1.26062,0.00131582,0.00131582,0.00131582
6,330.647,2.04811,1.8367,1.215,0.40427,0.27526,0.25043,0.12065,2.0765,1.71106,1.25763,0.00128753,0.00128753,0.00128753
7,381.176,2.00691,1.80324,1.21383,0.50108,0.28321,0.27509,0.13689,2.081,1.71275,1.25926,0.00125923,0.00125923,0.00125923
8,427.668,2.01681,1.73856,1.19607,0.59124,0.26853,0.27186,0.13147,2.09231,1.63786,1.26778,0.00123094,0.00123094,0.00123094
9,478.044,2.00984,1.69705,1.18676,0.55355,0.28451,0.2885,0.13884,2.08643,1.64425,1.25863,0.00120265,0.00120265,0.00120265
10,527.299,1.96921,1.68182,1.17141,0.47508,0.28606,0.28176,0.1442,2.02896,1.60323,1.2163,0.00117435,0.00117435,0.00117435
11,576.15,1.91335,1.60804,1.18293,0.48825,0.31739,0.29693,0.14834,2.03264,1.56711,1.24516,0.00114606,0.00114606,0.00114606
12,626.859,1.93025,1.62796,1.17306,0.51194,0.32068,0.30302,0.15211,2.03375,1.53777,1.22621,0.00111776,0.00111776,0.00111776
13,677.521,1.90604,1.58976,1.15417,0.50439,0.28859,0.303,0.15059,2.05853,1.52801,1.23969,0.00108947,0.00108947,0.00108947
14,726.061,1.93052,1.5629,1.16273,0.52867,0.2934,0.29067,0.1424,2.0294,1.51611,1.2177,0.00106118,0.00106118,0.00106118
15,774.933,1.89498,1.54709,1.15919,0.58182,0.30479,0.30866,0.15478,2.00341,1.50462,1.21489,0.00103288,0.00103288,0.00103288
16,823.518,1.89587,1.51399,1.13882,0.56785,0.2976,0.31088,0.15998,2.00385,1.47664,1.20791,0.00100459,0.00100459,0.00100459
17,872.06,1.83587,1.45161,1.13004,0.44962,0.30682,0.30961,0.15917,2.03085,1.47454,1.22093,0.000976293,0.000976293,0.000976293
18,920.612,1.86479,1.45348,1.12691,0.53199,0.32155,0.31072,0.15908,2.01423,1.44729,1.2305,0.000947999,0.000947999,0.000947999
19,971.364,1.88534,1.45915,1.14115,0.55406,0.32095,0.31065,0.16056,1.99129,1.50635,1.2094,0.000919704,0.000919704,0.000919704
20,1019.62,1.83423,1.42382,1.12631,0.69703,0.28315,0.32078,0.1632,2.00167,1.44024,1.22783,0.00089141,0.00089141,0.00089141
21,1068.44,1.84311,1.41998,1.1204,0.52792,0.30172,0.31315,0.16217,2.00954,1.47166,1.22415,0.000863116,0.000863116,0.000863116
22,1116.97,1.81913,1.39124,1.11957,0.45996,0.3344,0.3255,0.16792,2.00176,1.43505,1.21178,0.000834822,0.000834822,0.000834822
23,1168.04,1.85207,1.38915,1.10863,0.4826,0.32815,0.32011,0.16307,1.98901,1.39863,1.19886,0.000806528,0.000806528,0.000806528
24,1216.29,1.83719,1.3695,1.10235,0.53378,0.31018,0.31091,0.16001,1.98222,1.41905,1.22075,0.000778233,0.000778233,0.000778233
25,1265.24,1.85485,1.36548,1.10792,0.63715,0.30079,0.32136,0.16708,1.95223,1.39855,1.1906,0.000749939,0.000749939,0.000749939
26,1313.68,1.80854,1.33408,1.09948,0.47831,0.32801,0.32368,0.16842,1.99296,1.3835,1.19955,0.000721645,0.000721645,0.000721645
27,1362.64,1.83946,1.33314,1.09135,0.53689,0.30973,0.30889,0.16149,1.98596,1.39753,1.20349,0.000693351,0.000693351,0.000693351
28,1412.93,1.80824,1.33549,1.1102,0.72215,0.29523,0.32712,0.16536,1.98673,1.40596,1.19966,0.000665057,0.000665057,0.000665057
29,1462.77,1.80217,1.31245,1.10857,0.49176,0.34191,0.33641,0.17328,1.97927,1.33119,1.20998,0.000636762,0.000636762,0.000636762
30,1513.23,1.80092,1.2861,1.10557,0.53346,0.32424,0.33157,0.17624,1.95722,1.33062,1.20753,0.000608468,0.000608468,0.000608468
31,1564.15,1.78046,1.28742,1.07763,0.49444,0.33376,0.33205,0.16755,1.99672,1.34976,1.20975,0.000580174,0.000580174,0.000580174
32,1612.98,1.78309,1.2772,1.07542,0.568,0.3145,0.33885,0.175,1.9766,1.34682,1.20132,0.00055188,0.00055188,0.00055188
33,1662.93,1.76143,1.24822,1.07453,0.55762,0.3291,0.34154,0.17716,1.97857,1.34143,1.21149,0.000523586,0.000523586,0.000523586
34,1712.55,1.75165,1.21962,1.09015,0.50959,0.34289,0.34266,0.17561,1.98024,1.33423,1.21135,0.000495291,0.000495291,0.000495291
35,1760.41,1.7643,1.24556,1.09213,0.52818,0.33555,0.34607,0.17798,1.97938,1.32967,1.21063,0.000466997,0.000466997,0.000466997
36,1809.01,1.73257,1.2012,1.06621,0.48577,0.33617,0.34192,0.17656,1.98295,1.3434,1.19642,0.000438703,0.000438703,0.000438703
37,1859.81,1.73522,1.20146,1.06452,0.50574,0.33657,0.33934,0.17689,1.97553,1.3178,1.20343,0.000410409,0.000410409,0.000410409
38,1910.51,1.71675,1.19979,1.06245,0.52204,0.33868,0.34611,0.18091,1.95966,1.31288,1.19326,0.000382115,0.000382115,0.000382115
39,1959.31,1.67855,1.17002,1.04867,0.4933,0.35222,0.34606,0.18106,1.94597,1.31542,1.19334,0.00035382,0.00035382,0.00035382
40,2007.35,1.67663,1.15021,1.07127,0.51553,0.34206,0.34598,0.18335,1.96033,1.29297,1.19255,0.000325526,0.000325526,0.000325526
41,2057.49,1.70765,1.2001,1.08827,0.47535,0.34651,0.34229,0.18061,1.96986,1.31971,1.20532,0.000297232,0.000297232,0.000297232
42,2105.4,1.72785,1.16333,1.08028,0.50432,0.3413,0.34114,0.18191,1.94977,1.2965,1.18769,0.000268938,0.000268938,0.000268938
43,2155.07,1.69453,1.15153,1.06623,0.45498,0.3476,0.34405,0.18026,1.97981,1.29188,1.2086,0.000240644,0.000240644,0.000240644
