epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.49,1.11192,0.63048,0.96244,0.84134,0.78203,0.84493,0.523,1.46102,0.77761,1.12732,0.000475322,0.000475322,0.000475322
2,229.561,1.16919,0.68118,0.98045,0.81265,0.75189,0.82697,0.49729,1.51359,0.80498,1.13794,0.000932813,0.000932813,0.000932813
3,338.153,1.20183,0.71714,0.99499,0.82772,0.76664,0.83753,0.48837,1.5293,0.83386,1.13774,0.00137144,0.00137144,0.00137144
4,447.245,1.18752,0.70546,0.98575,0.82466,0.77912,0.857,0.51901,1.49489,0.81462,1.14782,0.00134412,0.00134412,0.00134412
5,555.241,1.19721,0.74075,0.98893,0.83569,0.74966,0.83686,0.49106,1.55752,0.83262,1.16293,0.00131582,0.00131582,0.00131582
6,663.195,1.19176,0.71279,0.98552,0.82016,0.763,0.83053,0.48925,1.51602,0.83495,1.15089,0.00128753,0.00128753,0.00128753
7,770.874,1.17865,0.69132,0.98682,0.81393,0.76584,0.82599,0.49341,1.50598,0.81273,1.14878,0.00125923,0.00125923,0.00125923
8,878.917,1.16896,0.6865,0.98263,0.82696,0.79018,0.84558,0.50372,1.48468,0.79542,1.11897,0.00123094,0.00123094,0.00123094
9,986.976,1.17809,0.68879,0.98107,0.8067,0.80849,0.84916,0.50999,1.50016,0.80467,1.13385,0.00120265,0.00120265,0.00120265
10,1095.2,1.15686,0.67416,0.97733,0.83683,0.77167,0.84767,0.51934,1.49125,0.82478,1.1512,0.00117435,0.00117435,0.00117435
11,1203.42,1.15653,0.67196,0.97597,0.80257,0.75632,0.81693,0.49524,1.46201,0.81024,1.10553,0.00114606,0.00114606,0.00114606
12,1311.49,1.14544,0.66388,0.97049,0.81941,0.7511,0.81897,0.49807,1.46573,0.82755,1.11548,0.00111776,0.00111776,0.00111776
13,1419.7,1.13692,0.65658,0.96783,0.83785,0.7644,0.83653,0.50974,1.46483,0.8072,1.12975,0.00108947,0.00108947,0.00108947
14,1527.77,1.12466,0.6422,0.96671,0.82727,0.7623,0.82288,0.49549,1.49987,0.82524,1.13839,0.00106118,0.00106118,0.00106118
15,1635.79,1.12061,0.64129,0.96121,0.81829,0.77416,0.82775,0.50673,1.48409,0.81158,1.13853,0.00103288,0.00103288,0.00103288
16,1743.79,1.10981,0.62927,0.95719,0.83806,0.79776,0.85639,0.51599,1.50808,0.77743,1.14406,0.00100459,0.00100459,0.00100459
17,1851.76,1.10817,0.6221,0.96238,0.84351,0.79994,0.84703,0.51256,1.49547,0.78631,1.14552,0.000976293,0.000976293,0.000976293
18,1959.84,1.10715,0.6217,0.96366,0.82583,0.74888,0.81992,0.49364,1.48612,0.81113,1.13858,0.000947999,0.000947999,0.000947999
19,2067.92,1.10597,0.62106,0.95364,0.84103,0.76587,0.83748,0.51088,1.47878,0.77152,1.13749,0.000919704,0.000919704,0.000919704
20,2176.19,1.09247,0.61292,0.95044,0.8464,0.76469,0.84644,0.50871,1.49362,0.78346,1.14135,0.00089141,0.00089141,0.00089141
21,2284.29,1.07472,0.60193,0.94651,0.83461,0.78395,0.84496,0.52717,1.46106,0.79498,1.13635,0.000863116,0.000863116,0.000863116
