epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.076,1.70349,2.16219,1.24453,0.62732,0.55571,0.59249,0.31841,1.6366,1.53021,1.22232,0.000475322,0.000475322,0.000475322
2,235.522,1.54078,1.45926,1.15002,0.70826,0.61785,0.68103,0.35804,1.63553,1.3873,1.23721,0.000942234,0.000942234,0.000942234
3,349.016,1.5136,1.32653,1.13099,0.72755,0.65193,0.71364,0.39067,1.57714,1.21596,1.19325,0.00139971,0.00139971,0.00139971
4,458.638,1.46693,1.21722,1.10899,0.79154,0.67531,0.75785,0.42017,1.53076,1.13523,1.17985,0.00138656,0.00138656,0.00138656
5,568.174,1.45293,1.19062,1.09988,0.75873,0.68073,0.75881,0.41933,1.54079,1.15165,1.16838,0.00137241,0.00137241,0.00137241
6,678.04,1.41042,1.08538,1.08062,0.76601,0.71359,0.76777,0.43601,1.49583,1.06923,1.15424,0.00135826,0.00135826,0.00135826
7,788.489,1.39264,1.03211,1.08085,0.75828,0.72758,0.76867,0.43873,1.5044,1.06854,1.14924,0.00134412,0.00134412,0.00134412
8,900.785,1.36656,0.99473,1.06826,0.79516,0.71742,0.79872,0.45773,1.51908,1.03118,1.15988,0.00132997,0.00132997,0.00132997
9,1012.93,1.37552,0.98387,1.06364,0.79402,0.7433,0.80981,0.47936,1.48878,1.00551,1.13534,0.00131582,0.00131582,0.00131582
10,1122.23,1.3537,0.9538,1.05905,0.80733,0.7427,0.8223,0.48718,1.4977,1.01081,1.16107,0.00130168,0.00130168,0.00130168
11,1231.6,1.34462,0.93577,1.05395,0.80142,0.73047,0.81305,0.47643,1.48073,0.97258,1.12607,0.00128753,0.00128753,0.00128753
12,1341.76,1.32038,0.90937,1.0418,0.79056,0.77176,0.81995,0.48727,1.4853,0.92669,1.12629,0.00127338,0.00127338,0.00127338
13,1452.57,1.31666,0.89059,1.04112,0.80815,0.76184,0.82616,0.47964,1.52031,0.95523,1.1643,0.00125923,0.00125923,0.00125923
14,1562.97,1.30368,0.86272,1.03428,0.84258,0.74124,0.82732,0.47699,1.53571,0.93945,1.1689,0.00124509,0.00124509,0.00124509
15,1675.12,1.28705,0.84134,1.02838,0.80489,0.75799,0.82294,0.46647,1.54961,0.92067,1.15709,0.00123094,0.00123094,0.00123094
16,1786.6,1.27634,0.83133,1.02092,0.81946,0.74938,0.83313,0.47518,1.55806,0.89737,1.16402,0.00121679,0.00121679,0.00121679
17,1896.5,1.27811,0.81326,1.03016,0.81761,0.74801,0.82016,0.48388,1.50275,0.90996,1.14277,0.00120265,0.00120265,0.00120265
18,2005.9,1.27299,0.81501,1.02686,0.82204,0.76472,0.82793,0.48891,1.52792,0.91303,1.16284,0.0011885,0.0011885,0.0011885
19,2119.01,1.27604,0.81392,1.01963,0.82384,0.757,0.82596,0.47633,1.54804,0.88981,1.17142,0.00117435,0.00117435,0.00117435
20,2232.24,1.25523,0.7982,1.00888,0.82788,0.77895,0.84516,0.50416,1.52374,0.8609,1.15929,0.00116021,0.00116021,0.00116021
21,2344.65,1.23989,0.7769,1.00624,0.81956,0.74984,0.817,0.49353,1.47575,0.86581,1.12751,0.00114606,0.00114606,0.00114606
22,2455.13,1.23555,0.76387,1.00274,0.83939,0.77511,0.84368,0.50776,1.49946,0.82131,1.15149,0.00113191,0.00113191,0.00113191
23,2567.29,1.2441,0.76524,1.00848,0.81945,0.79016,0.83978,0.49834,1.49559,0.83647,1.1394,0.00111776,0.00111776,0.00111776
24,2680.52,1.22678,0.74675,1.00509,0.84374,0.75835,0.82739,0.51021,1.46159,0.85639,1.1315,0.00110362,0.00110362,0.00110362
