epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5356.04,1.1797,0.67612,0.97343,0.90512,0.84871,0.91214,0.65352,1.15196,0.61736,0.96771,0.000848969,0.000848969,0.000848969
43,5483.05,1.15599,0.66356,0.96818,0.9086,0.85981,0.91832,0.65623,1.14821,0.60562,0.9725,0.000834822,0.000834822,0.000834822
44,5609.97,1.16005,0.66716,0.96974,0.90875,0.85033,0.91391,0.65415,1.15715,0.60543,0.97083,0.000820675,0.000820675,0.000820675
45,5736.88,1.15739,0.66205,0.96911,0.90696,0.86663,0.92141,0.65604,1.14447,0.59617,0.96867,0.000806528,0.000806528,0.000806528
46,5863.97,1.15352,0.65146,0.96719,0.91742,0.85367,0.91692,0.65862,1.13239,0.59313,0.96243,0.00079238,0.00079238,0.00079238
47,5991.04,1.14558,0.64781,0.96793,0.90995,0.8592,0.92011,0.66126,1.13573,0.59741,0.96608,0.000778233,0.000778233,0.000778233
48,6118.1,1.13519,0.65093,0.96282,0.91369,0.86292,0.9189,0.65709,1.12741,0.60009,0.96055,0.000764086,0.000764086,0.000764086
49,6245.16,1.14391,0.64994,0.96431,0.90514,0.86524,0.91982,0.66232,1.13169,0.59335,0.96174,0.000749939,0.000749939,0.000749939
50,6372.25,1.13981,0.6504,0.96667,0.9145,0.8607,0.9204,0.66995,1.12158,0.59023,0.95902,0.000735792,0.000735792,0.000735792
51,6499.41,1.13702,0.64184,0.96139,0.90625,0.86034,0.9195,0.66463,1.11977,0.59103,0.95779,0.000721645,0.000721645,0.000721645
52,6626.4,1.12182,0.62508,0.95924,0.91092,0.85308,0.91862,0.66588,1.11817,0.58562,0.9609,0.000707498,0.000707498,0.000707498
53,6753.61,1.12439,0.62863,0.9551,0.91348,0.86372,0.9246,0.67261,1.11157,0.57474,0.95792,0.000693351,0.000693351,0.000693351
54,6880.85,1.11695,0.62393,0.95537,0.9125,0.86909,0.92125,0.66553,1.11765,0.5817,0.95755,0.000679204,0.000679204,0.000679204
55,7007.88,1.11232,0.61913,0.957,0.91895,0.85985,0.92294,0.66695,1.11565,0.57892,0.95579,0.000665057,0.000665057,0.000665057
56,7134.91,1.10706,0.61633,0.95246,0.91747,0.86014,0.92587,0.67169,1.1035,0.57274,0.95179,0.000650909,0.000650909,0.000650909
57,7262.2,1.10988,0.61457,0.94871,0.91809,0.86624,0.92383,0.67229,1.0948,0.57186,0.94684,0.000636762,0.000636762,0.000636762
58,7389.32,1.10997,0.60954,0.94992,0.93742,0.86718,0.92891,0.67922,1.09939,0.55681,0.94937,0.000622615,0.000622615,0.000622615
59,7516.42,1.1005,0.61421,0.95172,0.93245,0.86522,0.93026,0.68249,1.08856,0.55771,0.94726,0.000608468,0.000608468,0.000608468
60,7643.54,1.10301,0.60684,0.94869,0.91825,0.8691,0.92591,0.67809,1.0881,0.55735,0.94815,0.000594321,0.000594321,0.000594321
61,7770.43,1.07881,0.58766,0.9462,0.92848,0.86461,0.92722,0.68257,1.08391,0.55834,0.9434,0.000580174,0.000580174,0.000580174
62,7897.56,1.09117,0.59758,0.94456,0.92548,0.86846,0.92625,0.67968,1.07946,0.55398,0.94209,0.000566027,0.000566027,0.000566027
63,8024.53,1.08618,0.59073,0.94613,0.92475,0.87586,0.93116,0.68756,1.07036,0.5464,0.94117,0.00055188,0.00055188,0.00055188
64,8151.67,1.07704,0.59143,0.94305,0.92827,0.8742,0.92864,0.68655,1.0679,0.54747,0.93793,0.000537733,0.000537733,0.000537733
