epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.6337,2.65477,5.23,1.37168,0.00185,0.00106,0.00101,0.00058,2.72681,4.90955,1.12401,9.51915e-05,9.51915e-05,9.51915e-05
2,116.957,2.58068,4.90727,1.20836,0.01069,0.01217,0.00793,0.00392,2.68569,4.47829,1.11434,0.000127652,0.000127652,0.000127652
3,172.337,2.56235,4.64654,1.17865,0.01048,0.01744,0.00933,0.0044,2.7262,4.19298,1.09218,9.71918e-05,9.71918e-05,9.71918e-05
